target_id,name,iqn,max_sessions,is_default_target,is_k8s
3,k8s-csi-pvc-5bd29c4b-de74-4547-a824-8a1f48cea43a,iqn.2000-01.com.synology:scooter.pvc-5bd29c4b-de74-4547-a824-8a1f48cea43a,0,false,true
4,k8s-csi-pvc-6a181aa7-2f42-4475-b960-9d624d5feca6,iqn.2000-01.com.synology:scooter.pvc-6a181aa7-2f42-4475-b960-9d624d5feca6,0,false,true
6,k8s-csi-pvc-c1035a9d-b8b2-4859-af33-2b9edb386d0c,iqn.2000-01.com.synology:scooter.pvc-c1035a9d-b8b2-4859-af33-2b9edb386d0c,0,false,true
7,k8s-csi-pvc-06b1ffbd-90f3-4002-b1f8-20e37a0c0b02,iqn.2000-01.com.synology:scooter.pvc-06b1ffbd-90f3-4002-b1f8-20e37a0c0b02,0,false,true
8,k8s-csi-pvc-63e57a7c-d983-4be5-99b0-d0aa2c749e42,iqn.2000-01.com.synology:scooter.pvc-63e57a7c-d983-4be5-99b0-d0aa2c749e42,0,false,true
10,k8s-csi-pvc-9edcadf4-a8b8-45a4-9a73-9d6b6b63df96,iqn.2000-01.com.synology:scooter.pvc-9edcadf4-a8b8-45a4-9a73-9d6b6b63df96,0,false,true
12,k8s-csi-pvc-e6a86ee3-fda2-4743-9b8e-47a12171bef3,iqn.2000-01.com.synology:scooter.pvc-e6a86ee3-fda2-4743-9b8e-47a12171bef3,0,false,true
15,k8s-csi-pvc-24ed6249-b0ac-40c8-a5eb-158f8755cdca,iqn.2000-01.com.synology:scooter.pvc-24ed6249-b0ac-40c8-a5eb-158f8755cdca,0,false,true
16,k8s-csi-pvc-aebd1801-7eb3-44c8-8823-f8b8a7093b4d,iqn.2000-01.com.synology:scooter.pvc-aebd1801-7eb3-44c8-8823-f8b8a7093b4d,0,false,true
24,k8s-csi-pvc-2bf25622-097e-46f4-b518-f1e940398819,iqn.2000-01.com.synology:scooter.pvc-2bf25622-097e-46f4-b518-f1e940398819,0,false,true
25,k8s-csi-pvc-36029d5e-7306-4e7a-a097-cda30fecf4a4,iqn.2000-01.com.synology:scooter.pvc-36029d5e-7306-4e7a-a097-cda30fecf4a4,0,false,true
28,k8s-csi-pvc-e54cac10-49cc-4931-a161-9922b69e0704,iqn.2000-01.com.synology:scooter.pvc-e54cac10-49cc-4931-a161-9922b69e0704,0,false,true
30,k8s-csi-pvc-af4cfb7f-62eb-46bc-8cf3-d68e32eec615,iqn.2000-01.com.synology:scooter.pvc-af4cfb7f-62eb-46bc-8cf3-d68e32eec615,0,false,true
31,k8s-csi-pvc-47c06749-0626-409b-9eed-ed2f660c9ac1,iqn.2000-01.com.synology:scooter.pvc-47c06749-0626-409b-9eed-ed2f660c9ac1,0,false,true
32,k8s-csi-pvc-93794f5f-91c6-4db0-9587-e07be5a4960b,iqn.2000-01.com.synology:scooter.pvc-93794f5f-91c6-4db0-9587-e07be5a4960b,0,false,true
33,k8s-csi-pvc-dadba4b3-75ca-46e3-98f9-644a5793f00a,iqn.2000-01.com.synology:scooter.pvc-dadba4b3-75ca-46e3-98f9-644a5793f00a,0,false,true
34,k8s-csi-pvc-1b049ab6-6e97-4783-ba22-bd7999eaa19e,iqn.2000-01.com.synology:scooter.pvc-1b049ab6-6e97-4783-ba22-bd7999eaa19e,0,false,true
35,k8s-csi-pvc-27c7a1b2-c0e5-4623-bd8a-2b4ea0273632,iqn.2000-01.com.synology:scooter.pvc-27c7a1b2-c0e5-4623-bd8a-2b4ea0273632,0,false,true
70,k8s-csi-pvc-28c401ac-79f4-407f-875b-5ce27c4c2edd,iqn.2000-01.com.synology:scooter.pvc-28c401ac-79f4-407f-875b-5ce27c4c2edd,0,false,true
72,k8s-csi-pvc-86167041-2e63-4ffa-97ed-4dea2f6555ed,iqn.2000-01.com.synology:scooter.pvc-86167041-2e63-4ffa-97ed-4dea2f6555ed,0,false,true
80,k8s-csi-pvc-2da6561c-95fa-4a65-b69d-b0d08def3df2,iqn.2000-01.com.synology:scooter.pvc-2da6561c-95fa-4a65-b69d-b0d08def3df2,0,false,true
92,k8s-csi-pvc-924779bb-bce5-4b71-b771-48e7a4a0841d,iqn.2000-01.com.synology:scooter.pvc-924779bb-bce5-4b71-b771-48e7a4a0841d,0,false,true
120,k8s-csi-pvc-762faa11-7615-4840-8133-cee1b136520c,iqn.2000-01.com.synology:scooter.pvc-762faa11-7615-4840-8133-cee1b136520c,0,false,true
121,k8s-csi-pvc-db01042d-c355-4a3d-baac-a5f0693885dd,iqn.2000-01.com.synology:scooter.pvc-db01042d-c355-4a3d-baac-a5f0693885dd,0,false,true
128,k8s-csi-pvc-19a48412-ef3e-4764-88b1-01ac4cd6dd67,iqn.2000-01.com.synology:scooter.pvc-19a48412-ef3e-4764-88b1-01ac4cd6dd67,0,false,true
